,parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
677087,12522530.00,,,,2,3,,4,2,,,1620,1620,,,,,6037,,2,,,,2,33786447,-118103543,7820,,,,,,100,261,LBR1N,60375745,46298,3101,275567,96247,0,,,,1,,,1955,,,56078,90323,2015,34245,1206.59,,,6.03757E+13
490635,12054980.00,,,,0,0,4,7,,,,3012,,,3012,,,6037,,,,,,,34162627,-118301868,6029,,,,,,1210,31,GLCM*,60373016.02,45457,3101,275207,96320,0,,,,,,,1940,,,82268,124471,2015,42203,1579.85,,,
590073,13078066.00,1,,,2,3,,7,2,,,1136,1136,,,,,6037,,2,,,,2,34006220,-117844735,16343,,,,,,010C,266,LCR3*,60374033.12,24384,3101,,96522,0,,,,1,,,1975,,,44446,57067,2015,12621,1023.02,,,6.0374E+13
575773,13918602.00,,,,4,5,,,4,,,3407,3407,,,,,6059,1,4,1,399,,,33819695,-117995215,7200,,,,,,122,261,,60590869.02,16764,1286,118872,97023,6,,,,,,,1965,1,,236150,550975,2015,314825,6610.44,,,6.05909E+13
20357,11918974.00,1,,,4,5,,7,4,,,2302,,,2302,,,6037,,4,,,,,34099870,-118087259,7258,,,,,,200,246,LCR1*,60374812.02,33837,3101,,96515,0,,,,2,,,1946,,,260755,547032,2015,286277,6944.88,,,6.03748E+13
138614,11724181.00,,,,2,2,,7,2,,,1410,1410,,,,,6037,,2,,,,2,34022517,-118339054,6276,,,,,,100,261,LAR1,60372195,12447,3101,268581,95997,0,,,,1,,,1951,,,74710,373568,2015,298858,4719.69,,,6.03722E+13
151536,11160270.00,1,,,2,2,,4,2,,,993,993,,,,,6037,,2,,,,2,34390700,-118562000,69731,,,,,,010C,266,SCUR3,60379203.34,54311,3101,48200,96378,0,,,,1,,,1980,,,66194,109904,2015,43710,1822.48,,,6.03792E+13
249510,14158954.00,,2,,2.5,3,,,2.5,,,1780,1780,,,,,6059,,2,3,753,,6,33929513,-117891905,1279,1,,,,1,122,261,,60590015.07,17150,1286,,97035,5,,1,6,,,,1977,2,TRUE,125503,416412,2015,290909,4997.48,,,6.059E+13
575950,13961687.00,,,,2,3,,,2,,,1671,1671,,,,,6059,,2,2,440,,,33747475,-117799648,8075,,,,,,122,261,,60590756.03,40081,1286,,97005,6,,,,,,,1961,1,,80861,279514,2015,198653,3424.92,,,6.05908E+13
41763,14302851.00,13,,,2,3,,,2,,,1644,1644,,,,,6059,,2,2,460,,,33704799,-117788238,5200,,,,,,122,261,,60590525.27,52650,1286,275916,96943,8,,,,,,,1975,1,,125828,645504,2015,519676,6756.54,,,6.05905E+13
851370,11426358.00,,,,1,2,,7,1,,,1147,1147,,,,,6037,,1,,,,7,33928289,-118333899,7564,,,,,,100,261,INR1YY,60376005.02,45888,3101,,96135,0,,,,1,,,1947,,,40615,203098,2015,162483,2945.31,,,6.0376E+13
532232,14182746.00,,,,3,4,,,3,,,2141,2141,,,,,6059,1,3,2,675,,,33886586,-117832176,10000,,,,,,122,261,,60590218.1,21412,1286,,97078,6,,,,,,,1962,1,,109121,378644,2015,269523,4527.6,,,6.05902E+13
1035434,12923037.00,,,,2,3,,4,2,,,1280,1280,,,,,6037,,2,,,,2,34089550,-117871310,7218,,,,,,100,261,CVR171/2,60374037.22,24245,3101,,96475,0,,,,1,,,1957,,,131867,368859,2015,236992,4595.68,,,6.0374E+13
364973,12587375.00,,,,3,3,,4,3,,,1414,1414,,,,,6037,,3,,,,2,33827700,-118282000,13027,,,,,,010C,266,CARM25U&D*,60375435.01,10723,3101,,96229,0,,,,1,,,1980,,,186020,268503,2015,82483,3502.63,,,6.03754E+13
162547,14144662.00,,,,3.5,5,,,3.5,,,3466,3466,,,,,6059,,3,2,601,,,33899419,-117976095,6771,,,,,,1,261,,60590017.07,24812,1286,,97041,0,,1,,,,,2003,,,450175,938501,2015,488326,10790.82,,,6.059E+13
772283,11136901.00,1,,,3,3,,4,3,,,1701,1701,,,,,6037,,3,,,,2,34412023,-118581721,95983,,,,,,010C,266,,60379203.39,,3101,,96395,0,,,,1,,,2004,,,239000,387000,2015,148000,6565.47,,,6.03792E+13
181076,11082772.00,1,,,3,3,,4,3,,,2061,2061,,,,,6037,,3,,,,2,34252800,-118531000,210518,1,,,,1,010C,266,LARD4,60371112.05,12447,3101,33183,96355,0,,,,1,,,1980,,,170973,313429,2015,142456,3888.67,,,6.03711E+13
817487,11158904.00,1,,,4,5,,4,4,,,3583,3583,,,,,6037,,4,,,,2,34421541,-118526263,5792,,,,,,010D,269,SCUR3,60379200.13,54311,3101,6952,96373,0,,,,1,,,2007,,,435000,722000,2015,287000,14025.78,,,6.03792E+13
747380,11473324.00,,,,4,4,,7,4,,,2302,2302,,,,,6037,,4,,,,7,33928371,-118410019,6031,,,,,,100,261,ESR2YY,60376200.01,55753,3101,,96103,0,,,,1,,,1955,,,245591,813426,2015,567835,9292.74,,,6.03762E+13
804618,10792216.00,1,,,2,2,,4,2,,,1074,1074,,,,,6037,,2,,,,2,34175000,-118600000,222371,1,,,,1,010C,266,LAWC,60371371.03,12447,3101,48570,96389,0,,,,1,,,1980,,,134984,208720,2015,73736,2573.58,,,6.03714E+13
314316,10953199.00,1,,,2,3,,7,2,,,1657,1657,,,,,6037,,2,,,,2,34197211,-118313019,6231,1,,,,1,101,261,BUR1YY,60373103,396054,3101,,96436,0,,,,1,,,1951,,,144000,719000,2015,575000,8624.58,,,6.03731E+13
981689,13125613.00,,,,0,0,,,,,,1536,1536,,,,,6037,,,,,,,33867865,-118221492,,,,,,,070P,263,,60375433.05,24174,3101,,96090,0,,,,,,,1978,,,,,2015,,287.99,,,
428717,14334686.00,,,,3,4,,,3,,,2866,2866,,,,,6059,1,3,2,505,,,33768514,-117790666,18793,1,,,,1,122,261,,60590756.04,40081,1286,,97005,7,,,,,,,1963,1,,202122,376529,2015,174407,4482.28,,,6.05908E+13
139807,12072350.00,,,,1,2,,7,1,,,1446,1446,,,,,6037,,1,,,,7,34164718,-118240433,5667,1,,,,1,101,261,GLR1*,60373007.02,45457,3101,275257,96326,0,,,,1,,,1926,,,118098,477675,2015,359577,5288.96,,,6.0373E+13
491620,17256839.00,,,,2.5,4,,,2.5,,1532,2869,2869,,,1532,,6111,1,2,2,627,,,34250876,-118753427,14036,,,,,,1111,261,,61110075.06,27110,2061,,97118,8,,1,,,,,1999,2,,285385,475638,2015,190253,5448.82,,,6.11101E+13
993513,14262670.00,,,,1.5,3,,,1.5,,,1009,1009,,,,,6059,,1,1,260,,,33721906,-117886673,6000,,,,,,122,261,,60590741.02,47568,1286,273041,97004,6,,1,,,,,1957,1,,42714,133576,2015,90862,1779.76,,,6.05907E+13
554317,11549810.00,,,,1,2,,7,1,,,820,820,,,,,6037,,1,,,,7,34001963,-118466295,5005,,,,,,100,261,LAR1,60372731,12447,3101,21056,96127,0,,,,1,,,1941,,,57120,285632,2015,228512,3617.26,,,6.03727E+13
97682,12686377.00,,,,2,2,,4,2,,,1581,1581,,,,,6037,,2,,,,2,33798385,-118402764,8851,,,,,,100,261,PVR1*,60376703.24,33311,3101,,96121,0,,,,1,,,1954,,,175621,439465,2015,263844,6018.82,,,6.03767E+13
932708,13940431.00,13,,,3,5,,,3,,,2735,2735,,,,,6059,,3,2,560,,,33784292,-117821005,10900,,,,,,122,261,,60590758.07,33252,1286,,97067,9,,,,,,,1963,2,,176968,543300,2015,366332,5973.94,,,6.05908E+13
917727,13937865.00,,,,2,3,,,2,,,1426,1426,,,,,6059,1,2,2,430,,,33797893,-117811846,8900,,,,,,122,261,,60590219.13,33252,1286,,97067,6,,,,,,,1962,1,,72827,428491,2015,355664,4841.64,,,6.05902E+13
388963,11003959.00,,,,1,2,,7,1,,,1216,1216,,,,,6037,,1,,,,7,34252463,-118270959,4994,,,,,,100,261,LARE40,60371013,12447,3101,27484,96284,0,,,,1,,,1930,,,23225,41557,2015,18332,542.31,,,6.0371E+13
942006,11842590.00,1,,,3,3,,4,3,,,1522,1522,,,,,6037,,3,,,,2,34058900,-118133000,15305,,,,,,010C,266,MPR3*,60374821.01,6021,3101,,96496,0,,,,1,,,1981,,,181621,262372,2015,80751,3514.18,,,6.03748E+13
193146,11774560.00,,,,0,0,3,7,,,,19308,,,19308,,,6037,,,,,,,34028093,-118265211,7597,,,,,,1213,47,LAM1,60372240.2,12447,3101,273197,95988,0,,,,22,,,1913,3,,115437,165602,2015,50165,3254.15,,,
396330,12943706.00,1,,,3,3,,4,3,,,1874,1874,,,,,6037,,3,,,,2,34061013,-117947230,340050,,,,,,010C,266,WCMF20*,60374068,14542,3101,,96523,0,,,,1,,,1980,,,183844,235449,2015,51605,2850.9,,,6.03741E+13
139289,11922960.00,,,,2,3,,7,2,,,1227,1227,,,,,6037,,2,,,,2,34122743,-118076095,5278,1,,,,1,101,261,LCRA05,60374800.11,33837,3101,,96514,0,,,,1,,,1961,,,46284,59518,2015,13234,5790.81,,,6.03748E+13
723397,12918957.00,,,,2,4,,7,2,,,1158,1158,,,,,6037,,2,,,,7,34099199,-117919820,5679,,,,,,100,261,LCA1YY,60374057.01,24245,3101,,96473,0,,,,1,,,1954,,,91930,136904,2015,44974,1945.86,,,6.03741E+13
60764,10730968.00,1,,,3,4,,4,3,,,2610,2610,,,,,6037,,3,,,,2,34184630,-118623937,7907,,,,,,100,261,LARS,60371352.01,12447,3101,48570,96389,0,,,,1,,,1973,,,252961,554320,2015,301359,6910.24,,,6.03714E+13
729288,17150011.00,,,,2,4,,,2,,1668,1668,1668,,,1668,,6111,1,2,2,600,,,34195291,-119216123,7224,,,,,,1111,261,,61110036.05,13150,2061,,97106,7,,,,,,,1994,1,,225671,376115,2015,150444,4739.28,,,6.111E+13
924650,11089604.00,,,,3,3,,4,3,,,2358,2358,,,,,6037,,3,,,,2,34245223,-118552958,12978,,,,,,100,261,LARA,60371133.01,12447,3101,33183,96354,0,,,,1,,,1955,,,202186,557166,2015,354980,6983.76,,,6.03711E+13
641696,10972004.00,,,,2,3,,7,2,,,1132,1132,,,,,6037,,2,,,,7,34313277,-118422347,7199,,,,,,100,261,LAR1,60371061.12,12447,3101,34213,96368,0,,,,1,,,1958,,,95356,185795,2015,90439,2303.39,,,6.03711E+13
305339,12581139.00,,,,3,2,,4,3,,,1463,1463,,,,,6037,,3,,,,2,33814243,-118263426,51390,,,,,,010C,266,CARM18U&D*,60375437.02,10723,3101,,96229,0,,,,1,,,1998,,,147133,213261,2015,66128,2849.22,,,6.03754E+13
357329,17128530.00,,,,1.5,2,,,1.5,,919,919,919,,,919,,6111,,1,1,0,,,34218504,-118997215,4730,,,,,,1128,265,,61110053.04,51239,2061,,97091,4,,1,,,170,,1978,1,,81554,110351,2015,28797,1167.04,,,6.11101E+13
353224,14080839.00,,,,2.5,3,,,2.5,,,1550,1550,,,,,6059,,2,2,435,,,33718531,-118050335,1562,,,,,,122,261,,60590995.08,25218,1286,,96967,7,,1,,,,,1973,2,,69135,117686,2015,48551,1554.98,,,6.0591E+13
1001191,11710742.00,,,,2,4,,4,2,,,2252,2252,,,,,6037,,2,,,,2,34010236,-118329608,5799,,,,,,100,261,LAR1,60372343,12447,3101,274293,95989,0,,,,1,,,1929,,,57232,102894,2015,45662,1398.9,,,6.03723E+13
651257,14200522.00,,,,2.5,4,,,2.5,,,2800,2800,,,,,6059,,2,2,667,,,33889234,-117739889,16000,,,,,,122,261,,60590218.27,21412,1286,,97079,0,,1,,,,,1986,,,306052,510122,2015,204070,6313.04,,,6.05902E+13
759111,17211246.00,,,,3.5,6,,,3.5,,1008,2912,2912,,,1008,,6111,1,3,2,529,,,34206289,-118877211,13900,1,450,,,1,1111,261,,61110066,34278,2061,,96383,9,,1,,,,,1966,2,,394071,606464,2015,212393,6388.26,,,6.11101E+13
961675,12999233.00,,,,1,1,,7,1,,,688,688,,,,,6037,,1,,,,7,34102100,-118025807,6655,,,,,,100,261,LCA15000*,60374315.02,14111,3101,,96517,0,,,,1,,,1945,,,40438,201932,2015,161494,5266.98,,,6.03743E+13
646319,12274550.00,1,,,2,3,,7,2,,,1572,1572,,,,,6037,,2,,,,2,33898329,-118239481,4993,,,,,,100,261,CORM*,60375427,24174,3101,,96090,0,,,,1,,,1926,,,64000,253000,2015,189000,5937.18,,,6.03754E+13
42848,14687230.00,1,,,3,3,,,3,,,1466,1466,,,,,6059,,3,2,0,,24,33810700,-117930000,,,,,,,34,266,,60590875.05,16764,1286,275496,97021,7,,,,,,,1978,2,,118853,218787,2015,99934,2827,,,6.05909E+13
143263,12909180.00,1,,,3,3,,4,3,,,1906,1906,,,,,6037,,3,,,,2,34083852,-117824851,55547,1,,,,1,101,261,SDSF7500*,60374013.04,33836,3101,,96513,0,,,,1,,,1978,,,129458,177118,2015,47660,7659.57,,,6.0374E+13
684928,17211786.00,,,,2,3,,,2,,1791,1791,1791,,,1791,,6111,1,2,2,456,,,34199376,-118870304,10100,,,,,,1111,261,,61110067,34278,2061,,96383,7,,,,,192,,1962,1,,207979,319961,2015,111982,3457.8,,,6.11101E+13
826630,12720135.00,,,,1,2,,7,1,,,1383,1383,,,,,6037,,1,,,,7,33929930,-118077967,6915,,,,,,100,261,NOR1YY,60375501,53636,3101,,96193,0,,,,1,,,1949,,,41557,185678,2015,144121,2609.75,,,6.03755E+13
321126,12806145.00,,,,2,3,,7,2,,,1292,1292,,,,,6037,,2,,,,7,33978980,-118066117,5614,,,,,,100,261,LCR1YY,60375022,396556,3101,,96174,0,,,,1,,,1949,,,32001,54828,2015,22827,1023.03,,,6.0375E+13
830852,14599687.00,,,,2,2,,,2,,,808,808,,,,,6059,,2,2,0,,,33641282,-117586387,,,,,,,34,266,,60590320.54,15554,1286,,96993,0,,,,,,,1989,,,107432,265000,2015,157568,4018.22,,,6.05903E+13
899090,12305160.00,,,,3,4,,7,3,,,1986,,,1986,,,6037,,3,,,,,33952939,-118202616,9006,,,,,,200,246,SGR3YY,60375357.02,47762,3101,,96125,0,,,,2,,,1938,,,97821,279501,2015,181680,3920.39,,,6.03754E+13
163842,17087088.00,,,,2.5,4,,,2.5,,1326,1926,1926,,,1326,,6111,1,2,2,466,,,34280853,-119210623,7902,1,510,,,1,1111,261,,61110017,34543,2061,,97083,7,,1,,,,,1968,2,,235699,379429,2015,143730,4009.48,,,6.111E+13
834974,10958942.00,1,,,2,3,,7,2,,,1136,1136,,,,,6037,,2,,,,2,34165376,-118346370,3305,,,,,,100,261,BUR1YY,60373114,396054,3101,116375,96437,0,,,,1,,,1938,,,110743,383495,2015,272752,4277.11,,,6.03731E+13
1015952,11741063.00,,,,2,3,,7,2,,,1670,1670,,,,,6037,,2,,,,2,34047311,-118362833,6884,,,,,,100,261,LAR1,60372169,12447,3101,274514,96000,0,,,,1,,,1928,,,210044,801243,2015,591199,9830.7,,,6.03722E+13
852740,11799766.00,,,,1,3,,7,1,,,1445,1445,,,,,6037,,1,,,,7,34050016,-118203258,6999,,,,,,100,261,LAR3,60372037.1,12447,3101,113886,96014,0,,,,1,,,1909,,,20980,42371,2015,21391,632.82,,,6.0372E+13
100788,14161676.00,13,,,2.5,4,,,2.5,,,2077,2077,,,,,6059,,2,2,455,,,33918467,-117870861,4725,,,,,,122,261,,60590218.14,17150,1286,,97035,8,,1,,,,,1985,2,,172993,559129,2015,386136,7854.68,,,6.05902E+13
957248,11927835.00,,,,1,2,,7,1,,,828,828,,,,,6037,,1,,,,7,34113369,-118058814,10286,,,,,,100,261,TCR2YY,60374319,14111,3101,,96517,0,,,,1,,,1942,,,24050,50748,2015,26698,401.81,,,6.03743E+13
904938,14478309.00,,,,3,4,,,3,,,4028,4028,,,,,6059,,3,2,677,,,33619364,-117626631,6642,,,,,,122,261,,60590320.37,12773,1286,,96996,0,,,,,,,1997,,,535673,892102,2015,356429,9005.36,,,6.05903E+13
411215,12945930.00,,,,2,3,,7,2,,,1278,1278,,,,,6037,,2,,,,2,34048735,-117952217,6276,,,,,,100,261,LCA106,60374075.01,,3101,,96488,0,,,,1,,,1955,,,77433,224931,2015,147498,2843.41,,,6.03741E+13
757096,14340483.00,,,,4,5,,,4,,,3583,3583,,,,,6059,,4,2,676,TRUE,,33765766,-117763968,11292,1,,,1,,122,261,,60590524.19,27491,1286,,97018,0,,,,,,,2000,,,523624,982608,2015,458984,11611.7,,,6.05905E+13
354036,14281420.00,,,,2,4,,,2,,,1926,1926,,,,,6059,,2,1,360,,,33649942,-117907302,7392,,,,,,122,261,,60590632.01,38032,1286,,96959,6,,,,,,,1951,3,,86543,196704,2015,110161,2749.8,,,6.05906E+13
285845,11299573.00,1,,,2,3,,4,2,,,2293,2293,,,,,6037,,2,,,,2,34702270,-118052148,111938,,,,,,100,261,LCA22*,60379003,5534,3101,,97318,0,,,,1,,,1984,,,156660,208914,2015,52254,2791.35,,,6.0379E+13
556225,12082509.00,,,,2,4,,7,2,,,1600,1600,,,,,6037,,2,,,,7,34140188,-118246591,6488,,,,,,100,261,GLR4YY,60373022.02,45457,3101,274425,96324,0,,,,1,,,1922,,,86776,341705,2015,254929,3801.52,,,6.0373E+13
633386,12762654.00,,,,3,4,,4,3,,,1998,1998,,,,,6037,,3,,,,2,33889418,-118002776,6216,1,,,,1,101,261,LMR1*,60375039.01,5465,3101,,96190,0,,,,1,,,1955,,,179171,288460,2015,109289,3834.53,,,6.0375E+13
1010158,12547128.00,1,,,2,3,,1,2,,,1762,1762,,,,,6037,,2,,,,2,33764600,-118175000,19814,,,,,,010C,266,LBPD1*,60375766.02,46298,3101,416302,96236,0,,,,1,,,2001,,,222600,900000,2015,677400,11982.5,,,6.03758E+13
692946,12759303.00,,,,1,3,,7,1,,,1244,1244,,,,,6037,,1,,,,7,33889687,-118089529,6720,1,,,,1,101,261,NOR1YY,60375529,53636,3101,,96193,0,,,,1,,,1947,,,109415,301260,2015,191845,4059.36,Y,6,6.03755E+13
795371,12370214.00,1,,,2,4,,4,2,,,1976,1976,,,,,6037,,2,,,,2,34009945,-118117293,7036,1,,,,1,101,261,MNR3YY,60375320.01,25953,3101,,96192,0,,,,1,,,1957,,,102426,246980,2015,144554,4075.91,,,6.03753E+13
18040,11212106.00,1,,,3,4,,4,3,,,2121,2121,,,,,6037,,3,,,,2,34573382,-118035556,6672,,,,,,100,261,PDA2*,60379107.13,40227,3101,,97330,0,,,,1,,,1989,,,103359,137846,2015,34487,2635.72,,,6.03791E+13
539796,11632536.00,,,,3,3,,7,3,,,1472,,,1472,,,6037,,3,,,,,34079807,-118387137,5004,,,,,,300,247,WDR1A*,60377004,48424,3101,762181,96029,0,,,,3,,,1941,,,229495,764984,2015,535489,10395.03,,,6.0377E+13
887214,13011517.00,1,,,3,4,,7,3,,,1332,1332,,,,,6037,,3,,,,2,34078583,-118055553,4979,,,,,,100,261,RMR1YY,60374329.02,51861,3101,,96510,0,,,,1,,,1934,,,139250,327238,2015,187988,4225.79,,,6.03743E+13
658944,11699469.00,1,,,3,4,,1,3,,,3171,3171,,,,,6037,,3,,,,2,33999007,-118349352,15261,1,,,,1,101,261,LCR1*,60377031,396550,3101,,96024,0,,,,1,,,1957,,,289246,695218,2015,405972,9029.08,,,6.0377E+13
695005,13989595.00,5,,,2,4,,,2,,,1053,1053,,,,,6059,,2,1,360,,6,33823549,-117964525,7200,,,,,,122,261,,60590877.01,,1286,,97023,7,,,,,,,1954,1,,58442,249241,2015,190799,3159.56,,,6.05909E+13
553823,11419070.00,,,,3,3,,4,3,,,2572,2572,,,,,6037,,3,,,,2,33909588,-118354545,6000,,,,,,100,261,HAR1YY,60376024.02,42150,3101,224568,96107,0,,,,1,,,1927,,,199614,511053,2015,311439,6648.82,,,6.0376E+13
319959,12514925.00,,,,2,2,,7,2,,,1457,1457,,,,,6037,,2,,,,2,33789429,-118113222,7542,1,,,,1,101,261,LBR1N,60375743.01,46298,3101,116302,96247,0,,,,1,,,1953,,,102898,203145,2015,100247,2668.65,,,6.03757E+13
1019515,12670666.00,,,,2,3,,7,2,,,1712,1712,,,,,6037,,2,,,,2,33812521,-118373817,8313,,,,,,100,261,TORR-LO,60376513.05,54722,3101,115657,96123,0,,,,1,,,1950,,,196000,980000,2015,784000,8920.99,,,6.03765E+13
259424,12229323.00,,,,1,3,,7,1,,,1026,1026,,,,,6037,,1,,,,7,33938411,-118240255,3007,,,,,,100,261,LAR2,60372427,12447,3101,118849,95983,0,,,,1,,,1959,,,25468,63676,2015,38208,1076.14,,,6.03724E+13
925103,11233576.00,1,,,2,3,,7,2,,,1960,1960,,,,,6037,,2,,,,2,34540211,-118066857,64152,,,,,,100,261,LCA11*,60379107.09,40227,3101,,97328,0,,,,1,,,1973,,,82191,90734,2015,8543,1191.56,,,6.03791E+13
213952,12056015.00,,,,2,3,,4,2,,,1754,1754,,,,,6037,,2,,,,2,34169860,-118276477,7777,,,,,,100,261,GLR1YY,60373012.05,45457,3101,273837,96321,0,,,,1,,,1928,,,155944,645502,2015,489558,7150.12,,,6.0373E+13
222512,11557847.00,1,,,2,2,,4,2,,,970,970,,,,,6037,,2,,,,2,34021100,-118412000,5692,,,,,,010E,266,LAR3,60372718.02,12447,3101,117183,96015,0,,,,1,,,1988,,,134039,460732,2015,326693,5595.51,,,6.03727E+13
870028,12446479.00,,,,1,2,,7,1,,,878,878,,,,,6037,,1,,,,7,33877674,-118153737,6695,,,,,,100,261,LBR1N,60375702.03,46298,3101,276476,96239,0,,,,1,,,1955,,,49548,135497,2015,85949,1839.84,,,6.03757E+13
599696,11753833.00,,,,2,3,,4,2,,,2000,2000,,,,,6037,,2,,,,2,34054314,-118361893,7091,1,,,,1,101,261,LARD1.5,60372169,12447,3101,274514,96000,0,,,,1,,,1928,,,127209,521089,2015,393880,6534.1,,,6.03722E+13
756545,14632294.00,,,,2,3,,,2,,,1216,1216,,,,,6059,,2,2,0,,24,33503574,-117718879,,,,,,,34,266,,60590423.17,25459,1286,,96987,6,,,,,,,1971,1,,36687,68345,2015,31658,716.92,,,6.05904E+13
682955,14352289.00,,,,2.5,3,,,2.5,,,2470,2470,,,,,6059,,2,2,526,,,33735382,-117765470,4462,,,,,,1,261,,60590524.2,52650,1286,274371,96939,0,,1,,,,,2001,,,318503,1109738,2015,791235,14565.24,,,6.05905E+13
1037608,14165892.00,,,,2,3,,,2,,,1567,1567,,,,,6059,,2,2,418,,,33905829,-117774530,8600,,,,,,122,261,,60590218.22,21412,1286,,97078,7,,,,,,,1985,2,,167366,418564,2015,251198,5302.54,,,6.05902E+13
255439,11083689.00,1,,,3,3,,4,3,,,1423,1423,,,,,6037,,3,,,,2,34256900,-118521000,373490,,,,,,010C,266,LARD1.5,60371113.02,12447,3101,33183,96355,0,,,,1,,,1975,,,151643,246850,2015,95207,3134.99,,,6.03711E+13
72553,14661270.00,,,,2,2,,,2,,,1021,1021,,,,,6059,,2,2,0,,24,33692814,-117993523,,,,,,,34,266,,60590994.13,25218,1286,,96966,5,,,,,,,1974,1,,97824,188433,2015,90609,2423.5,,,6.0591E+13
186391,12583671.00,,,,2,4,,7,2,,,1854,1854,,,,,6037,,2,,,,2,33836941,-118274471,4992,,,,,,100,261,CARS*,60375438.01,10723,3101,,96229,0,,,,1,,,1962,,,46284,61557,2015,15273,1241.41,,,6.03754E+13
166898,11296011.00,1,,,3,4,,4,3,,,1745,1745,,,,,6037,,3,,,,2,34699969,-118109686,5746,,,,,,100,261,LRRA7500*,60379006.08,5534,3101,,97318,0,,,,1,,,1988,,,106717,133394,2015,26677,2485.72,,,6.0379E+13
929659,12485227.00,,,,2,3,,7,2,,,1259,1259,,,,,6037,,2,,,,2,33855939,-118112203,5454,,,,,,100,261,LKR1YY,60375709.01,12292,3101,,96213,0,,,,1,,,1955,,,119000,436000,2015,317000,5449.54,,,6.03757E+13
621300,14167913.00,,,,2,4,,,2,,,1697,1697,,,,,6059,1,2,2,684,,,33895325,-117835804,15000,,,,,,122,261,,60590218.09,21412,1286,,97078,8,,,,,,,1973,1,,59080,97813,2015,38733,2834.54,,,6.05902E+13
462576,10816159.00,,,,2,3,,7,2,,,1328,1328,,,,,6037,,2,,,,7,34161736,-118526500,5700,,,,,,100,261,LAR1,60371395.02,12447,3101,51906,96379,0,,,,1,,,1950,,,105519,527612,2015,422093,6557.73,,,6.03714E+13
684131,11876193.00,,,,0,0,,,,,,,,,,,,6037,,,,,,,34105820,-118173001,2371,,,,,,010V,260,SPR110000*,60374807.02,27183,3101,,96280,0,,,,,,,,,,51230,153691,2015,102461,2327.81,,,
902288,13065064.00,,,,3,3,,4,3,,,2021,2021,,,,,6037,,3,,,,2,34036401,-117801969,7185,1,,,,1,101,261,LCR18000*,60374033.16,24384,3101,,96505,0,,,,1,,,1968,,,154149,230588,2015,76439,3145.64,,,6.0374E+13
490103,14197310.00,,,,0,0,,,,,,,,,,,,6059,,,,,,,33902472,-117781219,14590,,,,,,1,261,,60590218.23,21412,1286,,97078,0,,,,,,,,,,1122410,1545722,2015,423312,17524.88,,,6.05902E+13
396000,12870231.00,1,,,2,4,,4,2,,,1567,1567,,,,,6037,,2,,,,2,34087738,-117723110,7618,1,,,,1,101,261,CLRS8000*,60374020.01,30908,3101,,96469,0,,,,1,,,1959,,,151835,257469,2015,105634,3411.72,,,6.0374E+13
276500,12789190.00,1,,,3,5,,4,3,,,2608,2608,,,,,6037,,3,,,,2,33968789,-118017960,10579,,,,,,100,261,WHR11L,60375016,14634,3101,,96170,0,,,,1,,,1965,,,183306,298861,2015,115555,3868.94,,,6.0375E+13
486765,14019733.00,,,,2,3,,,2,,,1427,1427,,,,,6059,,2,2,441,,,33681054,-117923343,6240,,,,,,122,261,,60590638.06,38032,1286,,96958,6,,,,,,,1959,1,,47165,70154,2015,22989,1399.8,,,6.05906E+13
351954,13040014.00,,,,2,4,,7,2,,,1290,1290,,,,,6037,,2,,,,2,34109513,-117846690,7765,,,,,,100,261,GDR1,60374012.03,11626,3101,,96485,0,,,,1,,,1960,,,102439,210029,2015,107590,2747.29,,,6.0374E+13
281220,17149037.00,,,,2.5,3,,,2.5,,596,1445,1445,,,596,,6111,1,2,2,424,,,34194663,-119195492,3546,,,,,,1111,261,,61110036.08,13150,2061,762956,97106,6,,1,,,,,2000,2,,141966,283932,2015,141966,3721.3,,,6.111E+13
479217,11295756.00,1,,,2,3,,7,2,,,1449,1449,,,,,6037,,2,,,,2,34697591,-118110432,6313,,,,,,100,261,LRRA7500*,60379006.08,5534,3101,,97318,0,,,,1,,,1985,,,92847,116084,2015,23237,2316.73,,,6.0379E+13
716914,11193825.00,,,,2,3,,7,2,,,1220,1220,,,,,6037,,2,,,,7,34606821,-118157320,112374,,,,,,100,261,LCA22*,60379102.02,40227,3101,,97329,0,,,,1,,,1959,,,23900,143500,2015,119600,2899.88,,,6.03791E+13
